Tanggal,NTU_Manggar,PH_Manggar,NTU_Teritip,PH_Teritip
2015-05-10,28.3,5.78,,
2015-05-11,26.8,5.98,,
2015-05-12,26.9,5.61,,
2015-05-13,20.8,6.17,,
2015-05-14,22.3,5.78,,
2015-05-15,27.8,5.48,,
2015-05-16,27.4,5.65,,
2015-05-17,25.5,5.7,,
2015-05-18,21.7,5.8,,
2015-05-19,20.4,5.81,,
2015-05-20,18.9,5.78,,
2015-05-21,18.3,5.78,,
2015-05-22,16.8,6.01,,
2015-05-23,17.6,6.1,,
2015-05-24,16,5.94,,
2015-05-25,16.3,5.99,,
2015-05-26,14.8,5.69,,
2015-05-27,14.9,5.45,,
2015-05-28,14.4,5.63,,
2015-05-29,12.6,5.8,,
2015-05-30,11.9,5.77,,
2015-05-31,11.1,6.2,,
2015-06-01,11.8,5.83,,
2015-06-02,11.7,5.66,,
2015-06-03,11.8,5.7,,
2015-06-04,13.1,5.73,,
2015-06-05,14.3,5.72,,
2015-06-06,16.7,5.73,,
2015-06-07,12.5,5.81,,
2015-06-08,13.4,5.64,,
2015-06-09,16.3,5.68,,
2015-06-10,22.3,5.67,,
2015-06-11,16.2,5.63,,
2015-06-12,18.4,5.57,,
2015-06-13,14.6,5.86,,
2015-06-14,15.6,5.66,,
2015-06-15,15.7,5.63,,
2015-06-16,19.6,5.66,,
2015-06-17,21.7,5.73,,
2015-06-18,22.6,5.67,,
2015-06-19,31.7,5.64,,
2015-06-20,27.3,5.45,,
2015-06-21,21,5.62,,
2015-06-22,19.4,5.51,,
2015-06-23,20.8,5.69,,
2015-06-24,19.3,5.69,,
2015-06-25,15,5.94,,
2015-07-02,14.2,5.53,,
2015-07-03,14.6,5.8,,
2015-07-04,13.7,5.81,,
2015-07-05,13.2,5.73,,
2015-07-06,12.4,5.94,,
2015-07-07,11.9,5.91,,
2015-07-08,11.4,5.92,,
2015-07-09,11.5,5.88,,
2015-07-10,11.3,5.71,,
2015-07-11,11.1,5.86,,
2015-07-12,9.74,5.98,,
2015-07-13,8.89,6.08,,
2015-07-14,9.28,5.66,,
2015-07-15,8.24,5.76,,
2015-07-16,8.38,5.73,,
2015-07-17,8.55,5.88,,
2015-07-18,8.45,5.61,,
2015-07-19,9.12,5.71,,
2015-07-20,8.5,5.74,,
2015-07-21,8.12,5.74,,
2015-07-22,8.8,5.82,,
2015-07-23,8.24,5.84,,
2015-07-24,8.31,5.78,,
2015-07-25,7.08,6.05,,
2015-07-26,7.34,5.68,,
2015-07-27,7.38,5.6,,
2015-07-28,7.83,5.66,,
2015-07-29,7.53,5.62,,
2015-07-30,7.34,5.72,,
2015-07-31,8.78,5.67,,
